item_id,name,name_ja
0,ebi,えび
1,anago,穴子
2,maguro,まぐろ
3,ika,いか
4,uni,うに
5,tako,たこ
6,ikura,いくら
7,tamago,玉子
8,toro,とろ
9,amaebi,甘えび
10,hotategai,ほたて貝
11,tai,たい
12,akagai,赤貝
13,hamachi,はまち
14,awabi,あわび
15,samon,サーモン
16,kazunoko,数の子
17,shako,しゃこ
18,saba,さば
19,chu_toro,中とろ
20,hirame,ひらめ
21,aji,あじ
22,kani,かに
23,kohada,こはだ
24,torigai,とり貝
25,unagi,うなぎ
26,tekka_maki,鉄火巻
27,kanpachi,かんぱち
28,mirugai,みる貝
29,kappa_maki,かっぱ巻
30,geso,げそ
31,katsuo,かつお
32,iwashi,いわし
33,hokkigai,ほっき貝
34,shimaaji,しま鯵
35,kanimiso,かにみそ
36,engawa,えんがわ
37,negi_toro,ねぎとろ
38,nattou_maki,納豆巻
39,sayori,さより
40,takuwan_maki,たくわん巻
41,botanebi,ぼたんえび
42,tobiko,とびこ
43,inari,いなりずし
44,mentaiko,めんたいこ
45,sarada,サラダ
46,suzuki,すずき
47,tarabagani,たらば蟹
48,ume_shiso_maki,梅しそ巻
49,komochi_konbu,子持ちこんぶ
50,tarako,たらこ
51,sazae,さざえ
52,aoyagi,あおやぎ
53,toro_samon,とろサーモン
54,sanma,さんま
55,hamo,はも
56,nasu,なす
57,shirauo,白魚
58,nattou,なっとう
59,ankimo,あんきも
60,kanpyo_maki,かんぴょう巻
61,negi_toro_maki,ねぎとろ巻
62,gyusashi,牛さし
63,hamaguri,はまぐり
64,basashi,馬さし
65,fugu,ふぐ
66,tsubugai,つぶ貝
67,ana_kyu_maki,穴きゅう巻
68,hiragai,ひら貝
69,okura,おくら
70,ume_maki,梅巻
71,sarada_maki,サラダ巻
72,mentaiko_maki,めんたいこ巻
73,buri,ぶり
74,shiso_maki,しそ巻
75,ika_nattou,いか納豆
76,zuke,づけ
77,himo,ひも
78,kaiware,貝割れ
79,kurumaebi,くるまえび
80,mekabu,めかぶ
81,kue,くえ
82,sawara,さわら
83,sasami,ささみ
84,kujira,くじら
85,kamo,かも
86,himo_kyu_maki,ひもきゅう巻
87,tobiuo,とびうお
88,ishigakidai,いしがきだい
89,mamakari,ままかり
90,hoya,ほや
91,battera,バッテラ
92,kyabia,キャビア
93,karasumi,からすみ
94,uni_kurage,うにくらげ
95,karei,かれい
96,hiramasa,ひらまさ
97,namako,なまこ
98,shishamo,ししゃも
99,kaki,かき
