user_id,rank,item_id,item_name,predicted_score
0,1,26,tekka_maki,4.15
0,2,19,chu_toro,4.02
0,3,21,aji,3.72
0,4,79,kurumaebi,3.61
0,5,50,tarako,3.60
1,1,43,inari,1.35
1,2,27,kanpachi,1.12
1,3,1,anago,1.06
1,4,18,saba,1.02
1,5,95,karei,0.99
2,1,27,kanpachi,3.65
2,2,43,inari,3.24
2,3,91,battera,3.21
2,4,19,chu_toro,3.16
2,5,7,tamago,3.16
3,1,79,kurumaebi,3.76
3,2,19,chu_toro,3.61
3,3,61,negi_toro_maki,3.49
3,4,37,negi_toro,3.45
3,5,22,kani,3.42
4,1,61,negi_toro_maki,3.57
4,2,0,ebi,3.41
4,3,74,shiso_maki,3.27
4,4,18,saba,3.25
4,5,86,himo_kyu_maki,2.91
5,1,58,nattou,4.40
5,2,44,mentaiko,3.93
5,3,76,zuke,3.91
5,4,38,nattou_maki,3.83
5,5,66,tsubugai,3.80
6,1,8,toro,4.72
6,2,13,hamachi,4.62
6,3,37,negi_toro,4.55
6,4,20,hirame,4.41
6,5,26,tekka_maki,4.22
7,1,45,sarada,3.78
7,2,10,hotategai,3.63
7,3,38,nattou_maki,3.52
7,4,71,sarada_maki,3.45
7,5,61,negi_toro_maki,3.43
8,1,61,negi_toro_maki,4.67
8,2,34,shimaaji,4.08
8,3,47,tarabagani,3.75
8,4,20,hirame,3.61
8,5,79,kurumaebi,3.61
9,1,13,hamachi,4.14
9,2,7,tamago,3.83
9,3,11,tai,3.77
9,4,30,geso,3.71
9,5,15,samon,3.59
10,1,13,hamachi,4.65
10,2,27,kanpachi,4.21
10,3,54,sanma,4.02
10,4,1,anago,3.61
10,5,32,iwashi,3.58
11,1,2,maguro,4.88
11,2,6,ikura,4.83
11,3,3,ika,4.64
11,4,31,katsuo,4.62
11,5,79,kurumaebi,4.56
12,1,22,kani,4.66
12,2,41,botanebi,4.64
12,3,44,mentaiko,4.61
12,4,14,awabi,4.43
12,5,37,negi_toro,4.26
13,1,57,shirauo,5.05
13,2,22,kani,5.02
13,3,20,hirame,5.00
13,4,19,chu_toro,4.89
13,5,10,hotategai,4.71
14,1,2,maguro,4.26
14,2,53,toro_samon,4.15
14,3,19,chu_toro,4.03
14,4,7,tamago,4.00
14,5,11,tai,4.00
15,1,20,hirame,4.52
15,2,43,inari,4.46
15,3,25,unagi,4.45
15,4,73,buri,4.27
15,5,61,negi_toro_maki,4.17
16,1,4,uni,4.27
16,2,71,sarada_maki,4.02
16,3,67,ana_kyu_maki,3.93
16,4,7,tamago,3.92
16,5,9,amaebi,3.92
17,1,6,ikura,5.04
17,2,25,unagi,4.67
17,3,9,amaebi,4.55
17,4,15,samon,4.52
17,5,8,toro,4.31
18,1,45,sarada,4.36
18,2,2,maguro,4.09
18,3,15,samon,4.04
18,4,62,gyusashi,3.81
18,5,8,toro,3.60
19,1,19,chu_toro,3.03
19,2,8,toro,2.96
19,3,15,samon,2.86
19,4,2,maguro,2.78
19,5,5,tako,2.68
20,1,0,ebi,3.51
20,2,9,amaebi,3.51
20,3,10,hotategai,3.48
20,4,79,kurumaebi,3.34
20,5,2,maguro,3.30
21,1,22,kani,3.95
21,2,76,zuke,3.91
21,3,37,negi_toro,3.82
21,4,79,kurumaebi,3.81
21,5,53,toro_samon,3.80
22,1,37,negi_toro,4.83
22,2,43,inari,4.38
22,3,22,kani,4.22
22,4,44,mentaiko,4.22
22,5,8,toro,4.20
23,1,9,amaebi,3.90
23,2,71,sarada_maki,3.88
23,3,7,tamago,3.61
23,4,15,samon,3.58
23,5,76,zuke,3.46
24,1,37,negi_toro,4.27
24,2,11,tai,3.98
24,3,22,kani,3.95
24,4,0,ebi,3.78
24,5,14,awabi,3.69
25,1,79,kurumaebi,5.52
25,2,43,inari,5.23
25,3,2,maguro,5.01
25,4,15,samon,4.90
25,5,19,chu_toro,4.82
26,1,3,ika,5.16
26,2,44,mentaiko,4.70
26,3,37,negi_toro,4.62
26,4,10,hotategai,4.49
26,5,14,awabi,4.27
27,1,8,toro,3.97
27,2,1,anago,3.92
27,3,9,amaebi,3.91
27,4,19,chu_toro,3.82
27,5,79,kurumaebi,3.73
28,1,7,tamago,5.03
28,2,70,ume_maki,4.75
28,3,2,maguro,4.48
28,4,79,kurumaebi,4.17
28,5,45,sarada,4.13
29,1,47,tarabagani,4.35
29,2,61,negi_toro_maki,4.33
29,3,41,botanebi,4.23
29,4,53,toro_samon,4.13
29,5,65,fugu,3.92
30,1,3,ika,2.57
30,2,36,engawa,2.34
30,3,57,shirauo,2.29
30,4,22,kani,2.26
30,5,46,suzuki,2.22
31,1,8,toro,4.77
31,2,43,inari,4.43
31,3,96,hiramasa,4.40
31,4,19,chu_toro,4.38
31,5,55,hamo,4.10
32,1,6,ikura,2.95
32,2,53,toro_samon,2.41
32,3,66,tsubugai,2.32
32,4,58,nattou,2.13
32,5,37,negi_toro,2.12
33,1,2,maguro,3.59
33,2,31,katsuo,3.57
33,3,32,iwashi,3.51
33,4,47,tarabagani,3.44
33,5,20,hirame,3.33
34,1,37,negi_toro,4.62
34,2,22,kani,4.11
34,3,76,zuke,3.90
34,4,19,chu_toro,3.89
34,5,0,ebi,3.71
35,1,36,engawa,3.97
35,2,2,maguro,3.80
35,3,4,uni,3.70
35,4,47,tarabagani,3.61
35,5,15,samon,3.58
36,1,19,chu_toro,4.20
36,2,9,amaebi,4.18
36,3,37,negi_toro,4.17
36,4,8,toro,4.08
36,5,53,toro_samon,4.02
37,1,41,botanebi,2.83
37,2,50,tarako,2.83
37,3,25,unagi,2.70
37,4,53,toro_samon,2.56
37,5,47,tarabagani,2.53
38,1,8,toro,5.05
38,2,6,ikura,4.61
38,3,41,botanebi,4.55
38,4,15,samon,4.50
38,5,19,chu_toro,4.48
39,1,4,uni,3.06
39,2,73,buri,2.84
39,3,49,komochi_konbu,2.78
39,4,2,maguro,2.72
39,5,79,kurumaebi,2.53
40,1,57,shirauo,3.26
40,2,2,maguro,3.20
40,3,76,zuke,3.14
40,4,33,hokkigai,3.12
40,5,91,battera,3.00
41,1,14,awabi,4.67
41,2,37,negi_toro,4.44
41,3,15,samon,4.28
41,4,19,chu_toro,4.23
41,5,3,ika,4.09
42,1,8,toro,3.76
42,2,51,sazae,3.76
42,3,53,toro_samon,3.72
42,4,79,kurumaebi,3.61
42,5,47,tarabagani,3.59
43,1,8,toro,4.07
43,2,13,hamachi,3.55
43,3,37,negi_toro,3.48
43,4,53,toro_samon,3.44
43,5,80,mekabu,3.39
44,1,41,botanebi,4.50
44,2,47,tarabagani,4.39
44,3,76,zuke,4.06
44,4,53,toro_samon,4.05
44,5,9,amaebi,3.91
45,1,37,negi_toro,3.46
45,2,11,tai,3.32
45,3,15,samon,3.26
45,4,74,shiso_maki,3.00
45,5,3,ika,2.92
46,1,41,botanebi,5.28
46,2,44,mentaiko,4.89
46,3,14,awabi,4.81
46,4,22,kani,4.80
46,5,37,negi_toro,4.78
47,1,73,buri,4.59
47,2,47,tarabagani,4.25
47,3,61,negi_toro_maki,3.92
47,4,20,hirame,3.78
47,5,4,uni,3.71
48,1,9,amaebi,4.27
48,2,71,sarada_maki,4.12
48,3,79,kurumaebi,3.94
48,4,15,samon,3.86
48,5,8,toro,3.75
49,1,45,sarada,3.87
49,2,5,tako,3.68
49,3,80,mekabu,3.57
49,4,15,samon,3.52
49,5,8,toro,3.50
50,1,53,toro_samon,4.01
50,2,43,inari,3.90
50,3,19,chu_toro,3.89
50,4,11,tai,3.88
50,5,47,tarabagani,3.70
51,1,3,ika,4.12
51,2,19,chu_toro,4.07
51,3,37,negi_toro,3.98
51,4,22,kani,3.96
51,5,48,ume_shiso_maki,3.79
52,1,2,maguro,3.10
52,2,37,negi_toro,3.01
52,3,76,zuke,2.92
52,4,22,kani,2.91
52,5,79,kurumaebi,2.79
53,1,3,ika,3.78
53,2,10,hotategai,3.47
53,3,2,maguro,3.36
53,4,47,tarabagani,3.28
53,5,26,tekka_maki,3.15
54,1,44,mentaiko,4.43
54,2,37,negi_toro,4.11
54,3,53,toro_samon,4.08
54,4,41,botanebi,3.91
54,5,10,hotategai,3.77
55,1,15,samon,4.75
55,2,20,hirame,4.49
55,3,47,tarabagani,4.46
55,4,41,botanebi,4.24
55,5,53,toro_samon,4.13
56,1,3,ika,5.13
56,2,79,kurumaebi,4.74
56,3,0,ebi,4.55
56,4,26,tekka_maki,4.43
56,5,9,amaebi,4.42
57,1,5,tako,2.86
57,2,74,shiso_maki,2.62
57,3,11,tai,2.50
