user_id,rank,item_id,name,score
0,1,3,ika,4
0,2,58,nattou,4
0,3,4,uni,2
0,4,60,kanpyo_maki,2
0,5,87,tobiuo,2
0,6,12,akagai,1
0,7,44,mentaiko,1
0,8,1,anago,0
0,9,67,ana_kyu_maki,0
0,10,74,shiso_maki,0
1,1,22,kani,2
1,2,8,toro,1
1,3,21,aji,1
1,4,31,katsuo,1
1,5,60,kanpyo_maki,1
1,6,6,ikura,0
1,7,12,akagai,0
1,8,17,shako,0
1,9,24,torigai,0
1,10,76,zuke,0
2,1,2,maguro,4
2,2,13,hamachi,4
2,3,15,samon,4
2,4,1,anago,3
2,5,6,ikura,3
2,6,25,unagi,3
2,7,46,suzuki,2
2,8,74,shiso_maki,2
2,9,55,hamo,1
2,10,56,nasu,1
3,1,0,ebi,4
3,2,4,uni,4
3,3,8,toro,4
3,4,3,ika,3
3,5,9,amaebi,3
3,6,24,torigai,3
3,7,43,inari,3
3,8,29,kappa_maki,2
3,9,40,takuwan_maki,2
3,10,5,tako,1
4,1,9,amaebi,4
4,2,47,tarabagani,4
4,3,50,tarako,3
4,4,4,uni,1
4,5,19,chu_toro,1
4,6,30,geso,1
4,7,13,hamachi,0
4,8,31,katsuo,0
4,9,55,hamo,0
4,10,99,kaki,0
5,1,0,ebi,4
5,2,6,ikura,4
5,3,37,negi_toro,4
5,4,43,inari,2
5,5,56,nasu,2
5,6,3,ika,1
5,7,11,tai,1
5,8,34,shimaaji,1
5,9,46,suzuki,1
5,10,17,shako,0
6,1,2,maguro,4
6,2,4,uni,4
6,3,9,amaebi,4
6,4,10,hotategai,4
6,5,11,tai,4
6,6,25,unagi,4
6,7,3,ika,3
6,8,5,tako,2
6,9,78,kaiware,2
6,10,90,hoya,0
7,1,3,ika,4
7,2,8,toro,4
7,3,5,tako,3
7,4,9,amaebi,3
7,5,26,tekka_maki,3
7,6,14,awabi,2
7,7,27,kanpachi,2
7,8,69,okura,2
7,9,6,ikura,1
7,10,21,aji,1
8,1,0,ebi,4
8,2,19,chu_toro,4
8,3,26,tekka_maki,4
8,4,38,nattou_maki,4
8,5,4,uni,3
8,6,22,kani,3
8,7,27,kanpachi,2
8,8,15,samon,1
8,9,29,kappa_maki,1
8,10,16,kazunoko,0
9,1,1,anago,4
9,2,3,ika,4
9,3,14,awabi,4
9,4,37,negi_toro,4
9,5,9,amaebi,3
9,6,43,inari,3
9,7,20,hirame,2
9,8,36,engawa,2
9,9,18,saba,1
9,10,6,ikura,0
10,1,2,maguro,4
10,2,5,tako,4
10,3,8,toro,4
10,4,11,tai,4
10,5,30,geso,4
10,6,64,basashi,2
10,7,88,ishigakidai,2
10,8,6,ikura,1
10,9,7,tamago,1
10,10,0,ebi,0
11,1,9,amaebi,4
11,2,13,hamachi,4
11,3,15,samon,4
11,4,19,chu_toro,4
11,5,23,kohada,4
11,6,32,iwashi,4
11,7,42,tobiko,4
11,8,53,toro_samon,4
11,9,7,tamago,3
11,10,17,shako,3
12,1,4,uni,4
12,2,8,toro,4
12,3,20,hirame,4
12,4,27,kanpachi,4
12,5,66,tsubugai,4
12,6,5,tako,2
12,7,19,chu_toro,2
12,8,26,tekka_maki,2
12,9,74,shiso_maki,2
12,10,2,maguro,0
13,1,9,amaebi,4
13,2,24,torigai,4
13,3,31,katsuo,4
13,4,51,sazae,4
13,5,14,awabi,3
13,6,25,unagi,3
13,7,60,kanpyo_maki,3
13,8,4,uni,0
13,9,6,ikura,0
13,10,16,kazunoko,0
14,1,8,toro,4
14,2,9,amaebi,4
14,3,37,negi_toro,4
14,4,44,mentaiko,4
14,5,60,kanpyo_maki,4
14,6,15,samon,3
14,7,21,aji,3
14,8,95,karei,3
14,9,6,ikura,2
14,10,35,kanimiso,2
15,1,4,uni,4
15,2,11,tai,4
15,3,12,akagai,4
15,4,27,kanpachi,4
15,5,39,sayori,4
15,6,47,tarabagani,4
15,7,0,ebi,3
15,8,33,hokkigai,3
15,9,65,fugu,3
15,10,72,mentaiko_maki,3
16,1,0,ebi,4
16,2,5,tako,4
16,3,6,ikura,4
16,4,10,hotategai,4
16,5,15,samon,4
16,6,17,shako,4
16,7,53,toro_samon,4
16,8,26,tekka_maki,2
16,9,31,katsuo,2
16,10,19,chu_toro,1
17,1,1,anago,4
17,2,2,maguro,4
17,3,4,uni,4
17,4,10,hotategai,4
17,5,11,tai,4
17,6,13,hamachi,4
17,7,33,hokkigai,4
17,8,41,botanebi,4
17,9,44,mentaiko,3
17,10,84,kujira,2
18,1,7,tamago,4
18,2,29,kappa_maki,4
18,3,88,ishigakidai,4
18,4,13,hamachi,3
18,5,51,sazae,3
18,6,61,negi_toro_maki,3
18,7,22,kani,2
18,8,34,shimaaji,2
18,9,56,nasu,2
18,10,24,torigai,1
19,1,9,amaebi,4
19,2,13,hamachi,4
19,3,0,ebi,3
19,4,22,kani,3
19,5,45,sarada,3
19,6,12,akagai,2
19,7,24,torigai,2
19,8,46,suzuki,2
19,9,55,hamo,2
19,10,91,battera,2
20,1,3,ika,4
20,2,37,negi_toro,4
20,3,7,tamago,3
20,4,11,tai,3
20,5,20,hirame,3
20,6,38,nattou_maki,3
20,7,14,awabi,2
20,8,17,shako,2
20,9,33,hokkigai,2
20,10,66,tsubugai,2
21,1,19,chu_toro,4
21,2,35,kanimiso,4
21,3,75,ika_nattou,4
21,4,28,mirugai,3
21,5,33,hokkigai,3
21,6,46,suzuki,3
21,7,23,kohada,2
21,8,26,tekka_maki,2
21,9,36,engawa,2
21,10,89,mamakari,2
22,1,1,anago,4
22,2,7,tamago,4
22,3,31,katsuo,4
22,4,84,kujira,4
22,5,13,hamachi,3
22,6,36,engawa,3
22,7,60,kanpyo_maki,3
22,8,2,maguro,2
22,9,30,geso,1
22,10,85,kamo,1
23,1,2,maguro,4
23,2,6,ikura,4
23,3,0,ebi,3
23,4,3,ika,3
23,5,11,tai,3
23,6,13,hamachi,3
23,7,25,unagi,3
23,8,33,hokkigai,3
23,9,38,nattou_maki,3
23,10,26,tekka_maki,2
24,1,9,amaebi,4
24,2,15,samon,4
24,3,19,chu_toro,4
24,4,20,hirame,4
24,5,38,nattou_maki,4
24,6,1,anago,3
24,7,4,uni,2
24,8,6,ikura,1
24,9,23,kohada,1
24,10,49,komochi_konbu,0
25,1,1,anago,4
25,2,23,kohada,4
25,3,25,unagi,4
25,4,37,negi_toro,4
25,5,40,takuwan_maki,4
25,6,42,tobiko,4
25,7,49,komochi_konbu,4
25,8,62,gyusashi,4
25,9,29,kappa_maki,2
25,10,58,nattou,2
26,1,0,ebi,4
26,2,6,ikura,4
26,3,22,kani,4
26,4,27,kanpachi,4
26,5,72,mentaiko_maki,4
26,6,5,tako,3
26,7,82,sawara,2
26,8,4,uni,1
26,9,8,toro,1
26,10,18,saba,0
27,1,2,maguro,4
27,2,6,ikura,4
27,3,37,negi_toro,4
27,4,4,uni,3
