user_id,rank,item_id,item_name,predicted_score
0,1,19,chu_toro,3.18
0,2,61,negi_toro_maki,3.08
0,3,22,kani,3.07
0,4,31,katsuo,3.02
0,5,47,tarabagani,2.98
1,1,1,anago,2.61
1,2,37,negi_toro,2.58
1,3,19,chu_toro,2.40
1,4,4,uni,2.37
1,5,41,botanebi,2.32
2,1,37,negi_toro,3.63
2,2,19,chu_toro,3.55
2,3,8,toro,3.48
2,4,21,aji,3.43
2,5,9,amaebi,3.42
3,1,19,chu_toro,3.64
3,2,37,negi_toro,3.49
3,3,20,hirame,3.46
3,4,47,tarabagani,3.45
3,5,15,samon,3.44
4,1,0,ebi,3.02
4,2,37,negi_toro,2.92
4,3,25,unagi,2.84
4,4,79,kurumaebi,2.78
4,5,22,kani,2.63
5,1,19,chu_toro,3.13
5,2,22,kani,3.00
5,3,47,tarabagani,2.99
5,4,2,maguro,2.98
5,5,61,negi_toro_maki,2.97
6,1,6,ikura,3.80
6,2,19,chu_toro,3.63
6,3,20,hirame,3.60
6,4,37,negi_toro,3.45
6,5,8,toro,3.43
7,1,47,tarabagani,3.45
7,2,79,kurumaebi,3.27
7,3,19,chu_toro,3.26
7,4,1,anago,3.15
7,5,37,negi_toro,3.14
8,1,2,maguro,3.39
8,2,8,toro,3.35
8,3,10,hotategai,3.34
8,4,14,awabi,3.31
8,5,3,ika,3.22
9,1,2,maguro,3.54
9,2,8,toro,3.43
9,3,47,tarabagani,3.41
9,4,31,katsuo,3.32
9,5,22,kani,3.30
10,1,61,negi_toro_maki,3.59
10,2,19,chu_toro,3.56
10,3,47,tarabagani,3.41
10,4,22,kani,3.31
10,5,20,hirame,3.29
11,1,61,negi_toro_maki,4.14
11,2,14,awabi,3.97
11,3,47,tarabagani,3.84
11,4,37,negi_toro,3.80
11,5,79,kurumaebi,3.78
12,1,0,ebi,3.53
12,2,88,ishigakidai,3.45
12,3,37,negi_toro,3.35
12,4,10,hotategai,3.30
12,5,22,kani,3.30
13,1,20,hirame,3.68
13,2,26,tekka_maki,3.61
13,3,8,toro,3.58
13,4,0,ebi,3.57
13,5,11,tai,3.54
14,1,3,ika,3.85
14,2,19,chu_toro,3.83
14,3,2,maguro,3.63
14,4,47,tarabagani,3.61
14,5,20,hirame,3.53
15,1,1,anago,4.07
15,2,20,hirame,4.03
15,3,9,amaebi,4.00
15,4,19,chu_toro,3.99
15,5,6,ikura,3.96
16,1,9,amaebi,3.67
16,2,79,kurumaebi,3.59
16,3,47,tarabagani,3.43
16,4,37,negi_toro,3.41
16,5,22,kani,3.34
17,1,8,toro,4.14
17,2,19,chu_toro,4.09
17,3,37,negi_toro,4.02
17,4,22,kani,3.93
17,5,0,ebi,3.84
18,1,6,ikura,3.63
18,2,47,tarabagani,3.57
18,3,19,chu_toro,3.56
18,4,37,negi_toro,3.52
18,5,79,kurumaebi,3.47
19,1,3,ika,3.72
19,2,2,maguro,3.59
19,3,19,chu_toro,3.49
19,4,26,tekka_maki,3.38
19,5,53,toro_samon,3.38
20,1,9,amaebi,3.76
20,2,2,maguro,3.54
20,3,22,kani,3.49
