user_id,rank,item_id,item_name,predicted_rating
0,1,47,tarabagani,4.00
0,2,50,tarako,4.00
0,3,96,hiramasa,3.70
0,4,49,komochi_konbu,3.62
0,5,48,ume_shiso_maki,3.59
1,1,0,ebi,1.20
1,2,88,ishigakidai,0.95
1,3,75,ika_nattou,0.90
1,4,79,kurumaebi,0.89
1,5,47,tarabagani,0.87
2,1,8,toro,3.88
2,2,19,chu_toro,3.60
2,3,10,hotategai,3.30
2,4,11,tai,3.22
2,5,9,amaebi,3.22
3,1,31,katsuo,4.00
3,2,41,botanebi,3.97
3,3,1,anago,3.96
3,4,13,hamachi,3.74
3,5,22,kani,3.71
4,1,40,takuwan_maki,3.45
4,2,43,inari,3.29
4,3,61,negi_toro_maki,3.16
4,4,1,anago,3.07
4,5,71,sarada_maki,2.83
5,1,60,kanpyo_maki,3.98
5,2,51,sazae,3.69
5,3,7,tamago,3.52
5,4,68,hiragai,3.39
5,5,5,tako,3.35
6,1,1,anago,4.00
6,2,8,toro,4.00
6,3,15,samon,4.00
6,4,19,chu_toro,4.00
6,5,21,aji,4.00
7,1,0,ebi,3.79
7,2,7,tamago,3.24
7,3,74,shiso_maki,3.16
7,4,19,chu_toro,3.11
7,5,30,geso,3.05
8,1,61,negi_toro_maki,4.00
8,2,56,nasu,3.64
8,3,45,sarada,3.64
8,4,2,maguro,3.57
8,5,43,inari,3.57
9,1,61,negi_toro_maki,4.00
9,2,76,zuke,4.00
9,3,44,mentaiko,3.72
9,4,34,shimaaji,3.60
9,5,21,aji,3.46
10,1,14,awabi,4.00
10,2,34,shimaaji,4.00
10,3,44,mentaiko,4.00
10,4,61,negi_toro_maki,4.00
10,5,76,zuke,4.00
11,1,4,uni,4.00
11,2,8,toro,4.00
11,3,20,hirame,4.00
11,4,22,kani,4.00
11,5,31,katsuo,4.00
12,1,6,ikura,4.00
12,2,13,hamachi,4.00
12,3,32,iwashi,4.00
12,4,51,sazae,4.00
12,5,53,toro_samon,4.00
13,1,11,tai,4.00
13,2,13,hamachi,4.00
13,3,19,chu_toro,4.00
13,4,26,tekka_maki,4.00
13,5,29,kappa_maki,4.00
14,1,1,anago,4.00
14,2,43,inari,4.00
14,3,79,kurumaebi,4.00
14,4,19,chu_toro,3.99
14,5,0,ebi,3.83
15,1,9,amaebi,4.00
15,2,14,awabi,4.00
15,3,20,hirame,4.00
15,4,41,botanebi,4.00
15,5,53,toro_samon,4.00
16,1,14,awabi,4.00
16,2,16,kazunoko,4.00
16,3,50,tarako,4.00
16,4,58,nattou,4.00
16,5,96,hiramasa,4.00
17,1,8,toro,4.00
17,2,22,kani,4.00
17,3,31,katsuo,4.00
17,4,37,negi_toro,4.00
17,5,20,hirame,3.96
18,1,0,ebi,4.00
18,2,3,ika,4.00
18,3,8,toro,4.00
18,4,79,kurumaebi,3.93
18,5,37,negi_toro,3.76
19,1,19,chu_toro,2.80
19,2,11,tai,2.37
19,3,53,toro_samon,2.35
19,4,43,inari,2.29
19,5,20,hirame,2.28
20,1,61,negi_toro_maki,3.87
20,2,8,toro,3.80
20,3,79,kurumaebi,3.75
20,4,76,zuke,3.69
20,5,19,chu_toro,3.52
21,1,43,inari,3.73
21,2,14,awabi,3.66
21,3,6,ikura,3.52
21,4,37,negi_toro,3.38
21,5,24,torigai,3.37
22,1,6,ikura,4.00
22,2,0,ebi,3.96
22,3,71,sarada_maki,3.87
22,4,8,toro,3.86
22,5,37,negi_toro,3.82
23,1,41,botanebi,3.63
23,2,79,kurumaebi,3.62
23,3,14,awabi,3.61
23,4,20,hirame,3.59
23,5,8,toro,3.48
24,1,22,kani,4.00
24,2,76,zuke,4.00
24,3,11,tai,3.71
24,4,45,sarada,3.63
24,5,2,maguro,3.61
25,1,2,maguro,4.00
25,2,3,ika,4.00
25,3,8,toro,4.00
25,4,9,amaebi,4.00
25,5,11,tai,4.00
26,1,38,nattou_maki,4.00
26,2,90,hoya,3.89
26,3,7,tamago,3.70
26,4,37,negi_toro,3.64
26,5,85,kamo,3.58
27,1,8,toro,4.00
27,2,13,hamachi,4.00
27,3,19,chu_toro,4.00
27,4,79,kurumaebi,4.00
27,5,26,tekka_maki,3.93
28,1,8,toro,4.00
28,2,37,negi_toro,4.00
28,3,43,inari,4.00
28,4,54,sanma,4.00
28,5,61,negi_toro_maki,4.00
29,1,9,amaebi,4.00
29,2,14,awabi,4.00
29,3,36,engawa,4.00
29,4,61,negi_toro_maki,3.97
29,5,53,toro_samon,3.97
30,1,2,maguro,3.30
30,2,26,tekka_maki,3.14
30,3,6,ikura,3.06
30,4,79,kurumaebi,3.04
30,5,7,tamago,2.95
31,1,9,amaebi,4.00
31,2,15,samon,4.00
31,3,47,tarabagani,4.00
31,4,53,toro_samon,4.00
31,5,58,nattou,4.00
32,1,31,katsuo,2.60
32,2,80,mekabu,2.53
32,3,13,hamachi,2.43
32,4,69,okura,2.43
32,5,53,toro_samon,2.31
33,1,61,negi_toro_maki,3.73
33,2,37,negi_toro,3.66
33,3,47,tarabagani,3.63
33,4,26,tekka_maki,3.53
33,5,79,kurumaebi,3.43
34,1,4,uni,4.00
34,2,15,samon,4.00
34,3,22,kani,4.00
34,4,27,kanpachi,4.00
