user_id,rank,item_id,item_name,predicted_rating
0,1,61,negi_toro_maki,3.23
0,2,9,amaebi,3.19
0,3,8,toro,3.18
0,4,11,tai,3.16
0,5,79,kurumaebi,2.97
1,1,47,tarabagani,2.66
1,2,1,anago,2.65
1,3,61,negi_toro_maki,2.57
1,4,3,ika,2.56
1,5,37,negi_toro,2.42
2,1,19,chu_toro,3.37
2,2,79,kurumaebi,3.31
2,3,37,negi_toro,3.30
2,4,61,negi_toro_maki,3.29
2,5,8,toro,3.27
3,1,15,samon,3.99
3,2,19,chu_toro,3.77
3,3,22,kani,3.48
3,4,37,negi_toro,3.43
3,5,1,anago,3.42
4,1,15,samon,3.11
4,2,37,negi_toro,3.10
4,3,1,anago,3.06
4,4,2,maguro,2.91
4,5,0,ebi,2.83
5,1,8,toro,3.14
5,2,9,amaebi,3.09
5,3,22,kani,3.07
5,4,19,chu_toro,3.00
5,5,41,botanebi,2.97
6,1,6,ikura,3.86
6,2,1,anago,3.76
6,3,19,chu_toro,3.71
6,4,22,kani,3.42
6,5,20,hirame,3.42
7,1,19,chu_toro,3.48
7,2,37,negi_toro,3.39
7,3,10,hotategai,3.21
7,4,47,tarabagani,3.16
7,5,61,negi_toro_maki,3.14
8,1,8,toro,3.68
8,2,9,amaebi,3.44
8,3,10,hotategai,3.43
8,4,2,maguro,3.20
8,5,41,botanebi,3.15
9,1,19,chu_toro,3.44
9,2,0,ebi,3.42
9,3,11,tai,3.39
9,4,8,toro,3.15
9,5,26,tekka_maki,3.10
10,1,19,chu_toro,3.66
10,2,37,negi_toro,3.46
10,3,47,tarabagani,3.30
10,4,26,tekka_maki,3.28
10,5,43,inari,3.24
11,1,1,anago,4.00
11,2,8,toro,4.00
11,3,26,tekka_maki,4.00
11,4,47,tarabagani,4.00
11,5,37,negi_toro,3.97
12,1,9,amaebi,3.42
12,2,15,samon,3.34
12,3,53,toro_samon,3.32
12,4,6,ikura,3.28
12,5,48,ume_shiso_maki,3.27
13,1,19,chu_toro,4.00
13,2,37,negi_toro,3.98
13,3,8,toro,3.94
13,4,2,maguro,3.76
13,5,47,tarabagani,3.71
14,1,26,tekka_maki,3.82
14,2,47,tarabagani,3.80
14,3,79,kurumaebi,3.79
14,4,2,maguro,3.68
14,5,1,anago,3.62
15,1,19,chu_toro,3.99
15,2,37,negi_toro,3.93
15,3,36,engawa,3.92
15,4,8,toro,3.91
15,5,22,kani,3.87
16,1,8,toro,3.50
16,2,61,negi_toro_maki,3.50
16,3,79,kurumaebi,3.35
16,4,47,tarabagani,3.34
16,5,22,kani,3.24
17,1,8,toro,4.00
17,2,19,chu_toro,3.99
17,3,53,toro_samon,3.93
17,4,79,kurumaebi,3.82
